Column 1	Column 2
I swore.	Я поклявся.
I swore.	Я вилаявся.
I tried.	Я спробував.
I tried.	Я спробувала.
I waved.	Я махнув рукою.
I'm bad.	Мені погано.
I'm fat.	Я товстий.
I'm fat.	Я гладкий.
I'm fat.	Я гладка.
I'm fit.	Я в добрій спортивній формі.
I'm hit!	Мене вдарили!
I'm hit!	По мені влучили!
I'm hot.	Мені жарко.
I'm mad.	Я розлючений.
I'm new.	Я новенький.
I'm old.	Я стара.
I'm sad.	Я сумую.
I'm sad.	Мені сумно.
I'm sad.	Я відчуваю сум.
I'm shy.	Я сором'язливий.
I'm shy.	Я сором'язлива.
I'm wet.	Я мокрий.
It's OK.	Все гаразд.
It's OK.	Все в порядку.
It's OK.	Немає проблем.
It's OK.	Він в порядку.
It's OK.	Вона в порядку.
It's me.	Це я.
Join us.	Приєднуйтесь до нас.
Keep it.	Залиши це собі.
Keep it.	Залишіть це собі.
Kiss me.	Поцілуйте мене.
Lock it.	Замкни його.
Lock it.	Замкни її.
Lock it.	Замкніть його.
Lock it.	Замкніть її.
Open up.	Відкривай.
Open up.	Відчиняй.
Open up.	Відчиняйте.
Perfect!	Чудово!
See you.	Побачимось пізніше!
See you.	Побачимося.
Show me.	Покажи мені.
Shut up!	Замовкніть!
Shut up!	Затули пельку!
Skip it.	Пропусти це.
So long.	Бувай!
Stop it.	Припини!
Stop it.	Припиніть.
Take it.	Візьми.
Text me.	Напиши мені.
Tom ran.	Том біг.
Tom won.	Том виграв.
Tom won.	Том переміг.
Wait up.	Зачекай.
Wait up.	Зачекайте.
Wake up!	Вставай.
Wake up!	Прокидайся!
Wake up.	Вставай.
Wash up.	Умийся.
Wash up.	Умийтеся.
We care.	Нам не байдуже.
We know.	Ми знаємо.
We know.	Знаємо.
We lost.	Ми програли.
Welcome.	Ласкаво просимо!
Welcome.	Ласкаво прошу!
Welcome.	Ласкаво просимо.
Welcome.	Ласкаво прошу.
Who ate?	Хто їв?
Who ate?	Хто поїв?
Who ran?	Хто біг?
Who won?	Хто переміг?
Why not?	Чому ні?
Why not?	А чому б ні?
Why not?	Чому б ні?
Why not?	Чому б і ні?
Why not?	Чом би й ні?
You run.	Ти бігаєш.
You run.	Ви бігаєте.
You won.	Ти переміг.
You won.	Ти перемогла.
You won.	Ти виграла.
You won.	Ви виграли.
You won.	Ви перемогли.
Am I fat?	Я жирний?
Am I fat?	Я гладкий?
Am I fat?	Я гладка?
Ask them.	Запитай їх.
Back off!	Назад!
Be a man.	Будь чоловіком.
Be brave.	Будь сміливим.
Be brief.	Говори коротко.
Be quick.	Хутко.
Be quiet.	Спокійно.
Be still.	Не рухайся.
Be still.	Не рухайтеся.
Beats me.	Я не знаю.
Beats me.	Не знаю.
Beats me.	Уяви не маю.
Buzz off.	Геть звідси.
Bye, Tom.	Бувай, Томе.
Bye, Tom.	Па,Томе.
Bye, Tom.	Бувайте, Томе.
Call Tom.	Поклич Тома.
Call Tom.	Зателефонуй Тому.
Can I go?	Можна я піду?
Catch me.	Упіймай мене.
Catch me.	Злови мене.
Cheer up!	Веселіше!
Cheer up.	Вище ніс.
Cool off!	Заспокойся!
Cool off!	Охолонь!
Cuff him.	Одягни на нього наручники.
Don't go.	Не йди.
Don't go.	Не їдь!
Drive on.	Їдь далі.
Find Tom.	Знайди Тома.
Find Tom.	Знайдіть Тома.
Fix this.	Виправ це.
Fix this.	Відремонтуй це.
Get away!	Відійди!
Get away!	Іди геть!
Get away!	Йди геть.
Get away!	Йди звідси.
Get down!	На землю!
Get down!	Спускайся вниз!
Get down!	Спускайся!
Get down!	Спускайтеся!
Get down.	На землю!
Get down.	Спускайтеся.
Get down.	Спускайся.
Get lost!	Іди геть!
Get lost!	Йди геть.
Get lost!	Йди звідси.
Get lost!	Відвали.
Get lost!	Йди геть!
Get lost.	Відвали.
Get real!	Будь реалістом!
Get real!	Повернися на Землю!
Get real.	Будь реалістом.
Get real.	Повернися на Землю.
Go ahead!	Гайда!
Go ahead!	Ну ж бо!
Go ahead!	Вперед!
Go ahead.	Давай!
Go ahead.	Гайда!
Go ahead.	Ну ж бо!
Good job!	Молодець!
Good job!	Добра робота!
Good job!	Молодці!
Grab him.	Хапай його.
Have fun.	Насолоджуйся.
Have fun.	Отримуй задоволення.
He tries.	Він намагається.
Help Tom.	Допоможи Тому.
Hi, guys.	Привіт, хлопці.
Hi, guys.	Привіт, народе.
Humor me.	Просто зроби це заради мене.
Humor me.	Зробіть це для мене.
Hurry up.	Поспішай!
Hurry up.	Швидше!
Hurry up.	Хутчіш!
Hurry up.	Поквапся!
Hurry up.	Хутко!
Hurry up.	Швидко!
Hurry up.	Хутко.
I agreed.	Я погодився.
I agreed.	Я погодилася.
I agreed.	Я був згодний.
I agreed.	Я була згодна.
I am old.	Я стара.
I ate it.	Я його з'їв.
I ate it.	Я це з'їв.
I burped.	Я вірдигнув.
I burped.	Я вірдигнула.
I can go.	Я можу піти.
I danced.	Я танцював.
I danced.	Я танцювала.
I did OK.	У мене вийшло нормально.
I did it.	Я зробив це.
I failed.	Я зазнав невдачі.
I forgot.	Я забув.
I forgot.	Я забула.
I get by.	Я справляюся.
I get it.	Я це розумію.
I goofed.	Я полився.
I got it.	Я зрозуміла.
I got it.	Зрозумів.
I got up.	Я встав.
I got up.	Я встала.
I got up.	Я піднявся.
I got up.	Я піднялася.
I got up.	Я піднялась.
I had it.	У мене це було.
I helped.	Я допоміг.
I helped.	Я допомогла.
I jumped.	Я стрибнув.
I jumped.	Я стрибнула.
I looked.	Я подивився.
I looked.	Я подивилася.
I moaned.	Я застогнав.
I moaned.	Я застогнала.
I nodded.	Я кивнув головою.
I nodded.	Я кивнула головою.
I obeyed.	Я послухався.
I obeyed.	Я підкорився.
I paused.	Я зупинився.
I paused.	Я зробив паузу.
I phoned.	Я телефонував.
I phoned.	Я зателефонував.
I prayed.	Я молився.
I prayed.	Я молилася.
I refuse.	Я відмовляюся.
I resign.	Я звільняюся.
I saw it.	Я це бачив.
I shaved.	Я поголився.
I shaved.	Я поголилася.
I sighed.	Я зітхнув.
I sighed.	Я зітхнула.
I smiled.	Я усміхнувся.
I smiled.	Я усміхнулася.
I stayed.	Я лишився.
I stayed.	Я лишилася.
I stayed.	Я залишився.
I stayed.	Я залишилася.
I talked.	Я розвовляв.
I talked.	Я розмовляла.
I was OK.	У мене все було в порядку.
I winked.	Я підморгнула.
I winked.	Я підморгнув.
I yawned.	Я позітхнув.
I'd wait.	Я би зачекав.
I'd wait.	Я би зачекала.
I'd wait.	Я би почекав.
I'd wait.	Я би почекала.
I'll pay.	Я заплачу.
I'll try.	Я спробую.
I'll win.	Я переможу.
I'll win.	Я виграю.
I'm a DJ.	Я ді-джей.
I'm a DJ.	Я діджей.
I'm bald.	Я лисий.
I'm bald.	Я лиса.
I'm bald.	Я голомозий.
I'm bald.	Я голомоза.
I'm busy.	Я зайнятий.
I'm busy.	Я зайнята.
I'm calm.	Я спокійний.
I'm calm.	Я спокійна.
I'm deaf.	Я глухий.
I'm deaf.	Я глуха.
I'm done.	Я закінчив.
I'm done.	Я скінчив.
I'm done.	Я закінчив це.
I'm done.	Я закінчила це.
I'm easy.	Мені байдуже.
I'm fair.	Я справедливий.
I'm fair.	Я справедлива.
I'm fast.	Я швидкий.
I'm fast.	Я швидка.
I'm fine.	Я в порядку.
I'm fine.	У мене все гаразд.
I'm free.	Я вільний.
I'm free.	Я вільна.
I'm free.	Я свобідний.
I'm free.	Я свобідна.
I'm full.	Я ситий.
I'm full.	Я сита.
I'm full.	Я наївся.
I'm full.	Я наїлася.
I'm full.	Я не голодна.
I'm good.	Мені не треба.
I'm here.	Я тут.
I'm high.	Я під кайфом.
I'm home.	Я вдома.
I'm hurt.	Мені боляче.
I'm hurt.	Мені болісно.
I'm last.	Я останній.
I'm last.	Я остання.
I'm lazy.	Я лінивий.
I'm lazy.	Я лінива.
I'm lazy.	Я - ледацюга.
I'm mean.	Я злий.
I'm neat.	Я охайний.
I'm neat.	Я охайна.
I'm next.	Я наступний.
I'm next.	Я наступна.
I'm numb.	Я онімів.
I'm numb.	Я оніміла.
I'm okay.	Я в порядку.
I'm okay.	У мене все гаразд.
I'm poor.	Я бідний.
I'm poor.	Я бідна.
I'm rich.	Я багатий.
I'm rich.	Я багата.
I'm rich.	Я заможний.
I'm safe.	Я у безпеці.
I'm slow.	Я повільний.
I'm slow.	Я повільна.
I'm sure.	Я впевнений.
I'm sure.	Я певен.
I'm sure.	Я певна.
I'm tall.	Я високий.
I'm thin.	Я худий.
I'm thin.	Я худа.
I'm tidy.	Я охайний.
I'm tidy.	Я охайна.
I'm ugly.	Я потворний.
I'm ugly.	Я потворна.
I'm warm.	Мені тепло.
I'm well.	Я в порядку.
I'm wise.	Я мудрий.
I'm wise.	Я мудра.
I've won.	Я виграв.
I've won.	Я перемогла.
It hurts.	Боляче.
It hurts.	Це болісно.
It works.	Він працює.
It works.	Вона працює.
It works.	Воно працює.
It's fun.	Це класно.
It's his.	Він його.
It's his.	Вона його.
It's his.	Воно його.
It's hot.	Спекотно.
It's hot.	Спека.
It's old.	Він старий.
It's old.	Вона стара.
It's red.	Він червоний.
It's red.	Вона червона.
It's sad.	Сумно.
It's tea.	Це чай.
Keep out!	Тримайся подалі!
Keep out!	Тримайтеся подалі!
Keep out.	Тримайся подалі.
Keep out.	Тримайтеся подалі.
Kiss Tom.	Поцілуй Тома.
Kiss Tom.	Поцілуйте Тома.
Leave it.	Лиши.
Leave it.	Залиш це.
Leave me.	Залиши мене.
Leave me.	Облиш мене!
Leave us.	Залиши нас.
Let's go!	Гайда!
Let's go!	Почали!
Let's go!	Ходімо.
Let's go!	Ходімо!
Let's go.	Підемо.
Look out!	Обережно!
Marry me.	Виходь за мене заміж.
Marry me.	Одружись зі мною.
May I go?	Можна мені піти?
Save Tom.	Врятуй Тома.
Say what?	Га?
She came.	Вона прийшла.
She runs.	Вона бігає.
Sit down!	Сідай!
Sit down!	Сідайте!
Sit here.	Сідай тут.
Sit here.	Сідайте тут.
Speak up!	Кажи!
Speak up!	Говори гучніше!
Speak up!	Говоріть гучніше!
Stand by.	Будь напоготові.
Stand up!	Вставай.
Stand up!	Підводьтесь!
Stand up.	Вставай.
Stay put.	Не рухайся.
Stay put.	Залишайся на місці.
Stop Tom.	Зупини Тома.
Tell Tom.	Скажи Тому.
Terrific!	Чудово!
Terrific!	Фантастика!
Terrific!	Клас!
Terrific!	Класно!
They won.	Вони перемогли.
They won.	Вони виграли.
Tom came.	Том прийшов.
Tom fell.	Том упав.
Tom knew.	Том знав.
Tom lied.	Том збрехав.
Tom lies.	Том бреше.
Tom lies.	Том говорить неправду.
Tom quit.	Том звільнився.
Tom spit.	Том плюнув.
Tom swam.	Том плив.
Tom wept.	Том плакав.
Tom's up.	Том не спить.
Too late.	Запізно.
Trust me.	Повір мені.
Try some.	Спробуй трохи.
Use this.	Скористайся цим.
Warn Tom.	Попередь Тома.
Watch me.	Дивись на мене.
Watch us.	Дивись на нас.
We agree.	Ми згодні.
We tried.	Ми спробували.
We're OK.	Ми в порядку.
We're OK.	У нас все гаразд.
What for?	Для чого?
What fun!	Як весело!
Who am I?	Хто я?
Who came?	Хто прийшов?
Who paid?	Хто заплатив?
Who quit?	Хто вийшов?
Who quit?	Хто звільнився?
Who quit?	Хто пішов?
Who swam?	Хто плив?
Who's he?	Він хто?
Who's he?	Він хто такий?
Write me.	Напиши мені.
You lost.	Ти програв.
You lost.	Ти програла.
You lost.	Ви програли.
After you.	Після тебе.
Aim. Fire!	Цілься. Вогонь!
Am I dead?	Я помер?
Am I dead?	Я мертвий?
Am I dead?	Я мертва?
Am I dead?	Я вмерла?
Am I late?	Я запізнився?
Am I late?	Я запізнилася?
Answer me.	Дай мені відповідь.
Answer me.	Дайте мені відповідь.
Be seated.	Не вставай.
Be seated.	Не вставайте.
Birds fly.	Птахи літають.
Bless you.	Будь здоровий!
Bless you.	Будь здоровий.
Bless you.	Будьте здорові.
Call home!	Зателефонуй додому!
Call home!	Зателефонуйте додому!
Calm down!	Заспокойся!
Calm down!	Заспокойся.
Calm down.	Заспокойся!
Calm down.	Заспокойся.
Calm down.	Заспокойтеся.
Can I eat?	Мені можна поїсти?
Can we go?	Ми можемо піти?
Catch him.	Спіймай його.
Chill out.	Розлабся.
Chill out.	Розлабтеся.
Choose me.	Вибери мене.
Come back.	Повернися.
Come back.	Поверніться.
Come here.	Йди-но сюди.
Come home.	Йдіть додому.
Come over.	Приходь.
Come soon.	Приходь швидше.
Come soon.	Приходьте швидше.
Cool down.	Заспокойся!
Cool down.	Заспокойся.
Did I win?	Я виграла?
Did I win?	Я перемогла?
Do it now.	Зроби це зараз.
Do it now.	Зробіть це зараз.
Don't ask.	Не запитуй.
Don't ask.	Не питай.
Don't cry.	Не скигли.
Don't cry.	Не реви.
Don't cry.	Не ридай.
Don't cry.	Не плачте.
Don't cry.	Не ревіть.
Don't cry.	Не ридайте.
Don't die.	Не помирай.
Don't run.	Не біжи.
Don't run.	Не бігай.
Don't run.	Не бігайте.
Excuse me.	Перепрошую.
Excuse me?	Перепрошую?
Excuse me?	Вибачте?
Fantastic!	Супер!
Fantastic!	Чудово!
Fantastic!	Фантастика!
Fantastic!	Клас!
Fantastic!	Класно!
Follow me.	Йди за мною.
Follow me.	Слідуйте за мною.
Follow us.	Слідуйте за нами.
Follow us.	Йдіть за нами.
Forget it!	Забудь про це!
Forget it.	Облиш!
Get a job.	Знайди роботу.
Get a job.	Знайдіть роботу.
Get ready.	Приготуйся.
Get ready.	Приготуйтеся.
Go for it.	Давай.
Go for it.	Ну давай.
Go inside.	Заходь всередину.
Go inside.	Заходьте всередину.
Go to bed.	Йди спати.
Go to bed.	Йди в ліжко.
Good luck.	Нехай щастить!
Good luck.	Удачі.
Good luck.	Нехай щастить.
Grab that.	Хапай це.
Grab this.	Хапай це.
Hands off.	Не чіпай.
Hands off.	Руки геть.
Have some.	Візміть трохи.
He is ill.	Він хворіє.
He is old.	Він старий.
He smiled.	Він посміхнувся.
He's a DJ.	Він діджей.
He's busy.	Він зайнятий.
He's lazy.	Він лінивий.
He's lazy.	Він ледачий.
He's rich.	Він багатий.
He's tall.	Вiн високий.
Head east.	Прямуй на схід.
Head east.	Прямуйте на схід.
Head east.	Тримай курс на схід.
Head east.	Тримайте курс на схід.
Head east.	Йди на схід.
Head east.	Йді на схід.
Head east.	Їдь на схід.
Head east.	Їдьте на схід.
Here I am.	Ось і я.
Here I am.	А ось і я.
Here's $5.	Ось п'ять доларів.
Here's $5.	Тримай п'ять доларів.
Hold fire.	Не стріляти.
Hold fire.	Не стріляй.
Hold this.	Потримай це.
Hold this.	Потримайте це.
How awful!	Який жах!
How is it?	Як воно?
How is it?	Як це?
How's Tom?	Як Том?
How's Tom?	Як у Тома справи?
Humor Tom.	Зроби це заради Тома.
Humor Tom.	Зробіть це заради Тома.
I am full.	Я ситий.
I am full.	Я не голодний.
I am full.	Я сита.
I am full.	Я наївся.
I am full.	Я наїлася.
I am full.	Я не голодна.
I am okay.	Я в порядку.
I am okay.	У мене все гаразд.
I am sure.	Я впевнений.
I am sure.	Я певен.
I am sure.	Я певна.
I am tall.	Я високий.
I am well.	Я в порядку.
I am well.	У мене все гаразд.
I approve.	Я схвалюю.
I ate out.	Я поїв не вдома.
I ate out.	Я поїла не вдома.
I bit Tom.	Я вкусив Тома.
I bit Tom.	Я вкусила Тома.
I blinked.	Я моргнув.
I blinked.	Я моргнула.
I can run.	Я можу бігти.
I can run.	Я можу бігати.
I can run.	Я вмію бігати.
I can ski.	Я вмію кататися на лижах.
I changed.	Я змінився.
I changed.	Я переодягнувся.
I cheated.	Я змахлював.
I clapped.	Я зааплодував.
I coughed.	Я кашлянув.
I coughed.	Я кашлянула.
I crashed.	Я розбився.
I crashed.	Я розбилася.
I cringed.	Я зіщулився.
I escaped.	Я втік.
I fainted.	Я втратив свідомість.
I fainted.	Я втратила свідомість.
I felt it.	Я це відчув.
I frowned.	Я насупився.
I frowned.	Я насупилася.
I gave up.	Я здався.
I gave up.	Я здалася.
I get you.	Я тебе розумію.
I get you.	Я розумію вас.
I giggled.	Я захихотів.
I giggled.	Я захихотіла.
I give in.	Я здаюся.
I give up.	Я здаюся.
I got cut.	Мене порізали.
I got fat.	Я погладшав.
I got fat.	Я погладшала.
I got hit.	Мене вдарили.
I got hot.	Мені стало спекотно.
I got mad.	Я розлютився.
I got mad.	Я розлютилася.
I got mad.	Я розлютилась.
I grinned.	Я посміхнулася.
I groaned.	Я застогнав.
I groaned.	Я застогнала.
I grunted.	Я гмикнув.
I had fun.	Я добре провів час.
I had fun.	Я добре провела час.
I had fun.	Я розважився.
I had fun.	Я розважилася.
I hate TV.	Я ненавиджу телевізор.
I hate it.	Я його ненавиджу.
I hate it.	Я це ненавиджу.
I hit Tom.	Я вдарив Тома.
I hit Tom.	Я вдарила Тома.
I hope so.	Сподіваюся, що так.
I hope so.	Я на це сподіваюся.
I hope so.	Надіюся, що так.
I knew it.	Я знала.
I knew it.	Я знав це.
I knew it.	Я знала це.
I knew it.	Я це знала.
I knew it.	Я це знав.
I laughed.	Я засміявся.
I like it.	Мені це подобається.
I lost it.	Я його загубив.
I lost it.	Я втратив розум.
I love it!	Я це люблю!
I love it.	Я це люблю.
I love it.	Я її люблю.
I made it.	Я його зробив.
I made it.	Я це зробив.
I may win.	Я можу перемогти.
I may win.	Я можу виграти.
I mean it!	Я серйозно!
I mean it!	Я кажу серйозно!
I mean it!	Я це серйозно.
I mean it!	Я це серйозно!
I mean it.	Я це серйозно.
I met him.	Я зустрів його.
I met him.	Я зустріла його.
I miss it.	Я сумую за ним.
I must go.	Я мушу йти.
I must go.	Я повинен йти.
I need it.	Мені це потрібно.
I noticed.	Я звернув увагу.
I noticed.	Я помітив.
I prepaid.	Я заплатив наперед.
I prepaid.	Я заплатила наперед.
I promise.	Обіцяю.
I relaxed.	Я розслабився.
I relaxed.	Я розслабилася.
I retired.	Я пішов на пенсію.
I retired.	Я пішла на пенсію.
I said no.	Я сказав "ні".
I said no.	Я відмовив.
I said so.	Я це сказав.
I saw Tom.	Я бачив Тома.
I saw Tom.	Я бачила Тома.
I saw him.	Я бачив його.
I saw one.	Я бачив одного.
I saw one.	Я бачив одну.
I saw one.	Я бачила одну.
I saw you.	Я тебе бачив.
I saw you.	Я тебе бачила.
I saw you.	Я вас бачив.
I saw you.	Я вас бачила.
I see Tom.	Я бачу Тома.
I shouted.	Я закричав.
I shouted.	Я крикнув.
I slipped.	Я послизнувся.
I slipped.	Я послизнулася.
I sneezed.	Я чхнув.
I sneezed.	Я чхнула.
I stopped.	Я зупинився.
I stopped.	Я зупинилася.
I sweated.	Я спітнів.
I sweated.	Я спітніла.
I took it.	Я його взяв.
I took it.	Я її взяв.
I tripped.	Я перечепився.
I tripped.	Я перечепилася.
I want it.	Я хочу це.
I was fat.	Я був гладкий.
I was fat.	Я була гладка.
I was ill.	Я був хворий.
I was ill.	Я хворіла.
I was mad.	Я був розлючений.
I was new.	Я був новий.
I was new.	Я був новенький.
I was out.	Мене не було.
I was sad.	Мені було сумно.
I was shy.	Я був сором'язливий.
I was shy.	Я була сором'язлива.
I was wet.	Я був мокрий.
I woke up.	Я прокинувся.
I woke up.	Я прокинулася.
I'd agree.	Я би погодився.
I'd agree.	Я би погодилася.
I'd do it.	Я б це зробив.
I'd leave.	Я б пішов.
I'd leave.	Я б пішла.
I'll call.	Я зателефоную.
I'll come.	Я прийду.
I'll cook.	Я готуватиму.
I'll cook.	Я готуватиму їжу.
I'll fail.	Я зазнаю невдачі.
I'll live.	Я житиму.
I'll lose.	Я програю.
I'll lose.	Я програ́ю.
I'll pack.	Я спакуюся.
I'll pack.	Я зберу валізи.
I'll pass.	Я пропущу це.
I'll quit.	Я звільнюся.
I'll sing.	Я співатиму.
I'll sing.	Я буду співати.
I'll stay.	Я залишуся.
I'll stop.	Я припиню.
I'll stop.	Я зупинюся.
I'll swim.	Я буду плисти.
I'll talk.	Я говоритиму.
I'll wait.	Я почекаю.
I'll wait.	Я зачекаю.
I'll walk.	Я піду пішки.
I'll work.	Я працюватиму.
I'm a CPA.	Я сетрифікований аудитор.
I'm a cop.	Я поліцейський.
I'm a fan.	Я фанат.
I'm a fan.	Я вболівальник.
I'm a kid.	Я дитина.
I'm a man.	Я чоловік.
I'm a pro.	Я професіонал.
I'm a spy.	Я шпигун.
I'm a vet.	Я ветеран.
I'm a vet.	Я ветеринар.
I'm alive.	Я живий.
I'm angry.	Я розлючений.
I'm angry.	Я розлючена.
I'm angry.	Я сердитий.
I'm angry.	Я сердита.
I'm armed.	Я озброєний.
I'm armed.	Я озброєна.
I'm awake.	Я не сплю.
I'm blind.	Я сліпий.
I'm blind.	Я сліпа.
I'm bored.	Я нуджуся.
I'm bored.	Я нудьгую.
I'm bored.	Мені нудно.
I'm bossy.	Я владний.
I'm bossy.	Я люблю покомандувати.
I'm brave.	Я відважний.
I'm broke.	Я банкрот.
I'm clean.	Я чистий.
I'm clean.	Я чиста.
I'm crazy.	Я божевільний.
I'm crazy.	Я божевільна.
I'm cured.	Я видужав.
I'm dirty.	Я брудний.
I'm dirty.	Я брудна.
I'm dizzy.	У мене паморочиться в голові.
I'm drunk.	Я п'яний.
I'm drunk.	Я напився.
I'm drunk.	Я п'яна.
I'm dying.	Помираю.
I'm early.	Я рано.
I'm first.	Я перший.
I'm first.	Я перша.
I'm fussy.	Я вибагливий.
I'm fussy.	Я вередливий.
I'm going.	Я йду.
I'm going.	Я буду йти.
I'm happy.	Я задоволений.
I'm happy.	Я щасливий.
I'm happy.	Я задоволена.
I'm happy.	Я щаслива.
I'm loyal.	Я вірний.
I'm loyal.	Я лояльний.
I'm lucky.	Мені щастить.
I'm lying.	Я брешу.
I'm lying.	Я говорю неправду.
I'm naive.	Я наївний.
I'm naive.	Я наївна.
I'm naked.	Я голий.
I'm naked.	Я гола.
I'm needy.	Я нужденний.
I'm obese.	У мене ожиріння.
I'm picky.	Я перебірливий.
I'm picky.	Я перебірлива.
I'm pudgy.	Я пухленький.
I'm pudgy.	Я пухленька.
I'm quiet.	Я спокійний.
I'm quiet.	Я тихий.
I'm ready!	Я готовий!
I'm ready!	Я готова!
I'm ready.	Я готовий.
I'm ready.	Я готова!
I'm right.	Я маю рацію.
I'm short.	Я низький.
I'm short.	Я низька.
I'm short.	Я невисокий.
I'm short.	Я невисока.
